s_m,kappa_1pm
1.266876534167954276e+02,3.677207773632879158e-03
1.274601391083612612e+02,4.216318391213828842e-03
1.282326247999270947e+02,4.759962027863694385e-03
1.290051104914928999e+02,5.308600469629482128e-03
1.297775961830587335e+02,5.862667970287801719e-03
1.305500818746245670e+02,6.422566218965960159e-03
1.313225675661904006e+02,6.988658728570725474e-03
1.320950532577562058e+02,7.561264593518245668e-03
1.328675389493220393e+02,8.140651571112857143e-03
1.336400246408878729e+02,8.727028449333042517e-03
1.344125103324536781e+02,9.320536675333928461e-03
1.351849960240195117e+02,9.921241234296163114e-03
1.359574817155853452e+02,1.052912078799549643e-02
1.367299674071511788e+02,1.114405710729199188e-02
1.375024530987169840e+02,1.176582386324357202e-02
1.382749387902828175e+02,1.239407487824574494e-02
1.390474244818486511e+02,1.302833198181098384e-02
1.398199101734144847e+02,1.314904414546771635e-02
1.405923958649802898e+02,1.241982657861380804e-02
1.413648815565461234e+02,1.167677995972891437e-02
1.421373672481119570e+02,1.092170090980137953e-02
1.429098529396777622e+02,1.015624951310766313e-02
1.436823386312435957e+02,9.381945367368619074e-03
1.444548243228094293e+02,8.600167004608184201e-03
1.452273100143752629e+02,7.812154293127929888e-03
1.459997957059410680e+02,7.019013424862907170e-03
1.467722813975069016e+02,6.221724102218949108e-03
1.475447670890727352e+02,5.421148560246348211e-03
1.483172527806385688e+02,4.618042089889033003e-03
1.490897384722043739e+02,3.813064762690603939e-03
1.498622241637702075e+02,3.006794093842995140e-03
1.506347098553360411e+02,2.199738416443597182e-03
1.514071955469018462e+02,1.392350773370029573e-03
1.521796812384676798e+02,5.850431628237381509e-04
1.529521669300335134e+02,-2.217990017538468595e-04
1.537246526215993470e+02,-1.027802337780146704e-03
1.544971383131651521e+02,-1.832590953347248411e-03
1.552696240047309857e+02,-2.635772022247709952e-03
1.560421096962968193e+02,-3.436921576015091861e-03
1.568145953878626244e+02,-4.235570621483612970e-03
1.575870810794284580e+02,-5.031191705134848043e-03
1.583595667709942916e+02,-5.823186063813791218e-03
1.591320524625601252e+02,-6.610871524517264626e-03
1.599045381541259303e+02,-7.393471342886978777e-03
1.606770238456917639e+02,-8.170104199477232557e-03
1.614495095372575975e+02,-8.939775603168251955e-03
1.622219952288234310e+02,-9.701370980247066636e-03
1.629944809203892362e+02,-1.045365075326178637e-02
1.637669666119550698e+02,-1.119523175801163083e-02
1.645394523035209033e+02,-1.192462041201282352e-02
1.653119379950867085e+02,-1.264021594316835570e-02
1.660844236866525421e+02,-1.334028561095173052e-02
1.668569093782183757e+02,-1.402298969281471491e-02
1.676293950697842092e+02,-1.468639522418615020e-02
1.684018807613500144e+02,-1.532849357421422164e-02
1.691743664529158480e+02,-1.594715344549805375e-02
1.699468521444816815e+02,-1.654027028760897064e-02
1.707193378360475151e+02,-1.710576339071052596e-02
1.714918235276133203e+02,-1.764155633636128873e-02
1.722643092191791538e+02,-1.814563679634360535e-02
1.730367949107449874e+02,-1.861609234021106146e-02
1.738092806023107926e+02,-1.905114687135061116e-02
1.745817662938766262e+02,-1.944919657168861157e-02
1.753542519854424597e+02,-1.980884413653824158e-02
1.761267376770082933e+02,-2.012893003652543866e-02
1.768992233685740985e+02,-2.040855956381077904e-02
1.776717090601399320e+02,-2.076761316564439130e-02
1.784441947517057656e+02,-2.195054270376414415e-02
1.792166804432715992e+02,-2.344241112058312662e-02
1.799891661348374043e+02,-2.513866881762756578e-02
1.807616518264032379e+02,-2.707785254195562222e-02
1.815341375179690715e+02,-2.929135417911460024e-02
1.823066232095348767e+02,-3.182478734453079994e-02
1.830791089011007102e+02,-3.473313187729269030e-02
1.838515945926665438e+02,-3.808233762771887077e-02
1.846240802842323774e+02,-4.195080252020660927e-02
1.853965659757981825e+02,-4.643022696311479430e-02
1.861690516673640161e+02,-5.162488524525721267e-02
1.869415373589298497e+02,-5.764760305726029238e-02
1.877140230504956833e+02,-6.460962454068944205e-02
1.884865087420614884e+02,-7.260018473096731262e-02
1.892589944336273220e+02,-8.165050610079341298e-02
1.900314801251931556e+02,-9.167755034917966783e-02
1.908039658167589607e+02,-1.024079566582297984e-01
1.915764515083247943e+02,-1.067696838520367231e-01
1.923489371998906279e+02,-1.050641844285907511e-01
1.931214228914564615e+02,-1.013166404482193916e-01
1.938939085830222666e+02,-9.589188948192903239e-02
1.946663942745881002e+02,-8.935460413590889939e-02
1.954388799661539338e+02,-8.225720068921228700e-02
1.962113656577197673e+02,-7.503180039530318868e-02
1.969838513492855725e+02,-6.801803731422406685e-02
1.977563370408514061e+02,-6.141543673052880098e-02
1.985288227324172396e+02,-5.532988294200074514e-02
1.993013084239830448e+02,-4.980094001763287620e-02
2.000737941155488784e+02,-4.482383399991281964e-02
2.008462798071147120e+02,-4.036716856242628798e-02
2.016187654986805455e+02,-3.638573274371721678e-02
2.023912511902463507e+02,-3.282900669693442075e-02
2.031637368818121843e+02,-2.964636655572560134e-02
2.039362225733780178e+02,-2.678997257891366918e-02
2.047087082649438514e+02,-2.421614101719512385e-02
2.054811939565096566e+02,-2.188578470924418609e-02
2.062536796480754901e+02,-1.976431964149169204e-02
2.070261653396413237e+02,-1.782129179198952904e-02
2.077986510312071289e+02,-1.603131836953945732e-02
2.085711367227729625e+02,-1.437276944975568287e-02
2.093436224143387960e+02,-1.281908365446778747e-02
2.101161081059046296e+02,-1.135116435833076302e-02
2.108885937974704348e+02,-9.951484701863910765e-03
2.116610794890362683e+02,-8.603617756250497156e-03
2.124335651806021019e+02,-7.292419054695133476e-03
2.132060508721679355e+02,-6.000396730057438836e-03
2.139785365637337406e+02,-4.710845137161015148e-03
2.147510222552995742e+02,-3.406881315428377053e-03
2.155235079468654078e+02,-2.162951572696035323e-03
2.162959936384312130e+02,-1.832234527627245790e-03
2.170684793299970465e+02,-1.667300958523128956e-03
2.178409650215628801e+02,-1.491793163855929848e-03
2.186134507131287137e+02,-1.305843083576697320e-03
2.193859364046945188e+02,-1.109417327474401241e-03
2.201584220962603524e+02,-9.025473311552311296e-04
2.209309077878261860e+02,-6.853353931672552871e-04
2.217033934793920196e+02,-4.579603020312793672e-04
2.224758791709578247e+02,-2.206824055290437076e-04
2.232483648625236583e+02,2.615202903542960161e-05
2.240208505540894919e+02,2.821073150306009723e-04
2.247933362456552970e+02,5.466558548088349930e-04
2.255658219372211306e+02,8.191767957590891753e-04
2.263383076287869642e+02,1.098955961166991685e-03
2.271107933203527978e+02,1.385187165728852263e-03
2.278832790119186029e+02,1.676975003689396265e-03
2.286557647034844365e+02,1.973339171204885941e-03
2.294282503950502701e+02,2.273220354015164681e-03
2.302007360866161036e+02,2.575487677372771591e-03
2.309732217781819088e+02,2.878947678146677892e-03
2.317457074697477424e+02,3.182345509202160524e-03
2.325181931613135760e+02,3.484348963475971707e-03
2.332906788528793811e+02,3.783642173908868464e-03
2.340631645444452147e+02,4.078895986000662111e-03
2.348356502360110483e+02,4.368784165487349207e-03
2.356081359275768818e+02,4.651998549897011677e-03
2.363806216191426870e+02,4.927264325324348833e-03
2.371531073107085206e+02,5.193355122754759676e-03
2.379255930022743541e+02,5.449107621809237689e-03
2.386980786938401877e+02,5.693435352483236338e-03
2.394705643854059929e+02,5.925219565416581409e-03
2.402430500769718265e+02,6.143501396592495820e-03
2.410155357685376600e+02,6.347667982220444281e-03
2.417880214601034652e+02,6.537063848690400150e-03
2.425605071516692988e+02,6.711157891110724853e-03
2.433329928432351323e+02,6.869546787926815619e-03
2.441054785348009659e+02,7.011956282463538415e-03
2.448779642263667711e+02,7.138240348965610438e-03
2.456504499179326046e+02,7.248378315733309055e-03
2.464229356094984382e+02,7.342470069733434551e-03
2.471954213010642434e+02,7.420729513705876489e-03
2.479679069926300770e+02,7.483476486634075241e-03
2.487403926841959105e+02,7.531127390189065393e-03
2.495128783757617441e+02,6.993727015003886952e-03
2.502853640673275493e+02,5.204013963293870407e-03
2.510578497588933828e+02,3.487528774813802683e-03
2.518303354504592164e+02,1.833228327217619434e-03
2.526028211420250500e+02,2.271242875876659914e-04
2.533753068335908551e+02,-1.343659735540213241e-03
2.541477925251566887e+02,-2.891077953392987964e-03
2.549202782167225223e+02,-4.426330453779994505e-03
2.556927639082883275e+02,-5.960008713610418299e-03
2.564652495998541895e+02,-7.502254005272904376e-03
2.572377352914199946e+02,-9.063424808119979401e-03
2.580102209829857998e+02,-1.065269990946762779e-02
2.587827066745516618e+02,-1.227915612614216209e-02
2.595551923661174669e+02,-1.395158796671670462e-02
2.603276780576832721e+02,-1.567847247544944950e-02
2.611001637492491341e+02,-1.746788416554299547e-02
2.618726494408149392e+02,-1.932734897257235018e-02
2.626451351323808012e+02,-2.126362381669523807e-02
2.634176208239466064e+02,-2.328238643338398015e-02
2.641901065155124115e+02,-2.538781923717492103e-02
2.649625922070782735e+02,-2.758207206667748559e-02
2.657350778986440787e+02,-2.986459305437669243e-02
2.665075635902098838e+02,-3.223132628860387455e-02
2.672800492817757458e+02,-3.467379134673728713e-02
2.680525349733415510e+02,-3.717808499426494828e-02
2.688250206649073561e+02,-3.972388029465544201e-02
2.695975063564732181e+02,-4.228354194025193968e-02
2.703699920480390233e+02,-4.482152411777958617e-02
2.711424777396048853e+02,-4.729425896048650158e-02
2.719149634311706905e+02,-4.965076425629796203e-02
2.726874491227364956e+02,-5.183417899245232330e-02
2.734599348143023576e+02,-5.378435542461252467e-02
2.742324205058681628e+02,-5.544148647265203372e-02
2.750049061974339679e+02,-5.675053658436834264e-02
2.757773918889998299e+02,-5.766600951275745179e-02
2.765498775805656351e+02,-5.815639117603225994e-02
2.773223632721314402e+02,-5.820752500569722349e-02
2.780948489636973022e+02,-5.739901075439596961e-02
2.788673346552631074e+02,-5.677287262125940009e-02
2.796398203468289694e+02,-5.703884312033891818e-02
2.804123060383947745e+02,-5.814842739573179708e-02
2.811847917299605797e+02,-6.009507162351208215e-02
2.819572774215264417e+02,-6.290720277833507235e-02
2.827297631130922468e+02,-6.664307942925663808e-02
2.835022488046580520e+02,-7.139431127710545166e-02
2.842747344962239140e+02,-7.725181992330137914e-02
2.850472201877897191e+02,-8.429707073746832424e-02
2.858197058793555243e+02,-9.257970436629339717e-02
2.865921915709213863e+02,-1.020537006986203948e-01
2.873646772624871915e+02,-1.124960573320148011e-01
2.881371629540530535e+02,-1.226975671180828703e-01
2.889096486456188586e+02,-1.207911073146866882e-01
2.896821343371846638e+02,-1.163013046621533403e-01
2.904546200287505258e+02,-1.109365262571745669e-01
2.912271057203163309e+02,-1.052169172435369060e-01
2.919995914118821361e+02,-9.956650327086097318e-02
2.927720771034479981e+02,-9.429227609431245494e-02
2.935445627950138032e+02,-8.959485934549457631e-02
2.943170484865796084e+02,-8.559914916888512748e-02
2.950895341781454704e+02,-8.234561865943149095e-02
2.958620198697112755e+02,-7.985213421937609191e-02
2.966345055612771375e+02,-7.811879722155050387e-02
2.974069912528429427e+02,-7.713929195259501548e-02
2.981794769444087478e+02,-7.690796612462251491e-02
2.989519626359746098e+02,-7.742354584668870165e-02
2.997244483275404150e+02,-7.869007109540225586e-02
3.004969340191062201e+02,-8.071520208482250991e-02
3.012694197106720821e+02,-8.350558350597339641e-02
3.020419054022378873e+02,-8.341513439897771387e-02
3.028143910938036925e+02,-7.998486930289545882e-02
3.035868767853695545e+02,-7.575653895796596871e-02
3.043593624769353596e+02,-7.099262418539757646e-02
3.051318481685011648e+02,-6.594062839410892718e-02
3.059043338600670268e+02,-6.080996211864585915e-02
3.066768195516328319e+02,-5.576260382097444207e-02
3.074493052431986939e+02,-5.090799460326513037e-02
3.082217909347644991e+02,-4.631314290980529519e-02
3.089942766263303042e+02,-4.201209848511056055e-02
3.097667623178961662e+02,-3.801475038875055945e-02
3.105392480094619714e+02,-3.431673845926085098e-02
3.113117337010277765e+02,-3.090091460489451103e-02
3.120842193925936385e+02,-2.774131697615849629e-02
3.128567050841594437e+02,-2.481067973307948121e-02
3.136291907757252488e+02,-2.208056455148767541e-02
3.144016764672911108e+02,-1.952249042021265979e-02
3.151741621588569160e+02,-1.710848042555704329e-02
3.159466478504227780e+02,-1.481120377816111215e-02
3.167191335419885831e+02,-1.260383375779718616e-02
3.174916192335543883e+02,-1.046000015430749268e-02
3.182641049251202503e+02,-8.351922006011387040e-03
3.190365906166860555e+02,-7.298896314065508005e-03
3.198090763082518606e+02,-6.952055135054271973e-03
3.205815619998177226e+02,-6.593707801632049670e-03
3.213540476913835278e+02,-6.224046896781856679e-03
3.221265333829493329e+02,-5.843271161012123481e-03
3.228990190745151949e+02,-5.451584373550127233e-03
3.236715047660810001e+02,-5.049194446444348408e-03
3.244439904576468621e+02,-4.636312761827980113e-03
3.252164761492126672e+02,-4.213128680844450275e-03
3.259889618407784724e+02,-3.779751076306632051e-03
3.267614475323443344e+02,-3.336559377121654443e-03
3.275339332239101395e+02,-2.883776159860317479e-03
3.283064189154759447e+02,-2.421628799342121895e-03
3.290789046070418067e+02,-1.950350726918279043e-03
3.298513902986076118e+02,-1.470183051978368564e-03
3.306238759901734170e+02,-9.813765523293811830e-04
3.313963616817392790e+02,-4.841940353594396257e-04
3.321688473733050841e+02,2.108693221128794771e-05
3.329413330648709461e+02,5.341709327794625468e-04
3.337138187564367513e+02,1.054741256478440798e-03
3.344863044480025565e+02,1.582456127841821427e-03
3.352587901395684185e+02,2.116944625111995965e-03
3.360312758311342236e+02,2.657802324461881749e-03
3.368037615227000288e+02,3.204586710086260778e-03
3.375762472142658908e+02,3.756812400884927249e-03
3.383487329058316959e+02,4.313946255326378890e-03
3.391212185973975011e+02,4.875402428006347412e-03
3.398937042889633631e+02,5.440537464298992112e-03
3.406661899805291682e+02,6.008645533159818336e-03
3.414386756720950302e+02,6.578953912293118884e-03
3.422111613636608354e+02,7.150618854153612501e-03
3.429836470552266405e+02,7.722721975106494781e-03
3.437561327467925025e+02,8.294267322871470144e-03
3.445286184383583077e+02,8.864179288362932299e-03
3.453011041299241128e+02,9.431271407851210889e-03
3.460735898214899748e+02,9.994296682810908244e-03
3.468460755130557800e+02,1.055194617004402528e-02
3.476185612046215851e+02,1.110282520197007974e-02
3.483910468961874471e+02,1.164546854897018265e-02
3.491635325877532523e+02,1.217834722072251054e-02
3.499360182793191143e+02,1.269987722261566379e-02
3.507085039708849195e+02,1.320843032649548533e-02
3.514809896624507246e+02,1.370234686437021669e-02
3.522534753540165866e+02,1.417995049416572069e-02
3.530259610455823918e+02,1.463956481931658234e-02
3.537984467371481969e+02,1.507953167069905204e-02
3.545709324287140589e+02,1.549823078267042499e-02
3.553434181202798641e+02,1.589410051797682591e-02
3.561159038118456692e+02,1.626565922281693333e-02
3.568883895034115312e+02,1.661152672764105304e-02
3.576608751949773364e+02,1.693044545577901058e-02
3.584333608865431984e+02,1.722130056511268423e-02
3.592058465781090035e+02,1.748313853172269935e-02
3.599783322696748087e+02,1.771518359197487430e-02
3.607508179612406707e+02,1.791685149297885318e-02
3.615233036528064758e+02,1.808776006145810383e-02
3.622957893443722810e+02,1.822773618687286920e-02
3.630682750359381430e+02,1.859689933041922677e-02
3.638407607275039481e+02,2.607663547912781113e-02
3.646132464190697533e+02,3.604801880063635000e-02
3.653857321106356153e+02,4.688295401527448752e-02
3.661582178022014205e+02,5.898293511909641351e-02
3.669307034937672825e+02,7.268850935878637398e-02
3.677031891853330876e+02,8.818351761399280397e-02
3.684756748768988928e+02,1.004854055905274185e-01
3.692481605684647548e+02,1.006591462141890880e-01
3.700206462600305599e+02,1.004101938848187547e-01
3.707931319515963651e+02,9.986518098514511610e-02
3.715656176431622271e+02,9.915745768936683191e-02
3.723381033347280322e+02,9.841523294603855831e-02
3.731105890262938374e+02,9.775280294914473478e-02
3.738830747178596994e+02,9.726701399808924953e-02
